Kategory; Name; Dauer; Größe; Codec; Aspect Ratio; Auflösung; Kompressionsrate
;Star Wars VII;02:18:06;37,62;h264;16:9;1920x1080;16,36
;Star Wars VIII;02:31:51;38,24;h264;16:9;1920x1080;15,12
Transformers;Transformers;02:23:27;35,6;h264;16:9;1920x1080;14,9
;Transformers II;02:29:53;40,87;h264;16:9;1920x1080;16,38
;Transformers III;02:34:23;36,54;h264;16:9;1920x1080;14,21
;Transformers IV;02:38:21;5,89;mpeg2video;5:4;720x576;2,23
X-Men;Deadpool;01:43:42;5,81;mpeg2video;5:4;720x576;3,36
;Deadpool 2;02:13:59;34,71;h264;16:9;1920x1080;15,56
;Logan;02:17:23;30,7;h264;16:9;1920x1080;13,42
;X-Men;01:44:20;25,39;h264;16:9;1920x1080;14,62
;X-Men 2;02:13:47;29,83;h264;16:9;1920x1080;13,39
;X-Men Apocalypse;02:23:56;31,43;h264;16:9;1920x1080;13,11
;X-Men Days of Future Past;02:11:35;28,11;h264;16:9;1920x1080;12,83
;X-Men First Class;02:11:42;27,58;h264;16:9;1920x1080;12,58
;X-Men Origins Wolverine;01:47:21;20,71;h264;16:9;1920x1080;11,59
;X-Men The Last Stand;01:44:05;29,66;h264;16:9;1920x1080;17,11
;X-Men The Wolverine;02:06:08;34,22;h264;16:9;1920x1080;16,29
